nome,instituicao_ensino_aluno,idade_aluno,anos_pm,ponto_virada,inde,inde_conceito,pedra,destaque_ieg,destaque_ida,destaque_ipv,iaa,ieg,ips,ida,ipp,ipv,ian,ano,fase,turma,sinalizador_ingressante,rec_equipe_1,rec_equipe_2,rec_equipe_3,rec_equipe_4,nivel_ideal,defasagem,ano_ingresso,bolsista,cg,cf,ct,nota_port,nota_mat,nota_ing,qtd_aval,rec_ava_1,rec_ava_2,rec_ava_3,rec_ava_4,indicado_bolsa,grupo_fase,saiu,atencao,destaque
ALUNO-1030,,,,False,6.874622323232324,,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,8.282828282828284,7.5,5.75,6.458333333333334,6.611106666666666,5.0,2022,2,M,,,,,,Fase 3 (7º e 8º ano),,2022.0,False,531.0,82.0,6.0,6.0,5.5,,3.0,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,False,Fases 1-7,False,False,False
ALUNO-1031,,,,False,7.950002,,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.500020000000001,10.0,7.5,8.833333333333332,5.833333333333334,7.5,5.0,2022,1,B,,,,,,Fase 2 (5º e 6º ano),,2020.0,False,155.0,38.0,5.0,8.666666666666666,9.0,,3.0,Promovido de Fase,Promovido de Fase,Promovido de Fase,,False,Fases 1-7,False,False,False
ALUNO-1033,,,,False,8.243991565656566,,Topázio,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.50002,7.328282828282827,8.125,9.1,5.625,8.166665,10.0,2022,0,H,,,,,,ALFA  (2º e 3º ano),,2022.0,False,74.0,20.0,1.0,9.333333333333334,8.866666666666667,,2.0,Promovido de Fase,Mantido na Fase atual,,,False,Fases 1-7,False,False,False
ALUNO-1034,,,,False,7.495580529657477,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,9.490392648287385,7.5,6.633333333333333,6.041666666666667,7.333333333333333,5.0,2022,2,K,,,,,,Fase 3 (7º e 8º ano),,2019.0,False,314.0,47.0,3.0,5.433333333333334,7.833333333333333,,3.0,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,,False,Fases 1-7,False,False,False
ALUNO-1037,,,,False,8.12197003030303,,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.33334,8.151515151515152,6.875,8.0,8.125,7.791665,10.0,2022,3,L,,,,,,Fase 3 (7º e 8º ano),,2022.0,False,107.0,18.0,1.0,8.0,7.5,8.5,4.0,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,True,Fases 1-7,False,False,False
ALUNO-1038,,,,False,7.532558522875817,,Ametista,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.16668,7.44750816993464,7.5,5.777777777777779,6.458333333333334,7.875,10.0,2022,5,B,,,,,,Fase 5 (1º EM),,2021.0,False,298.0,20.0,8.0,1.666666666666667,6.333333333333333,9.333333333333334,3.0,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase + Bolsa,,True,Fases 1-7,False,False,False
ALUNO-1039,,,,False,7.625232814814815,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.50002,9.074074074074074,7.5,7.0,5.9375,8.08333,5.0,2022,0,B,,,,,,Fase 2 (5º e 6º ano),,2022.0,False,262.0,74.0,3.0,7.0,7.0,,2.0,Mantido na Fase atual,Mantido na Fase atual,,,False,Fases 1-7,False,False,False
ALUNO-1040,,,,False,7.2677972489343565,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.58335,8.422314578005116,7.5,6.166666666666667,7.5,6.95833,5.0,2022,3,C,,,,,,Fase 4 (9º ano),,2022.0,False,407.0,49.0,2.0,4.833333333333333,5.833333333333333,7.833333333333333,4.0,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,False,Fases 1-7,False,False,False
ALUNO-1042,,,,False,6.891666833333334,,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.58335,8.5,7.5,5.166666666666667,7.5,5.9999925,5.0,2022,3,D,,,,,,Fase 4 (9º ano),,2022.0,False,528.0,68.0,5.0,7.0,3.5,5.0,4.0,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,False,Fases 1-7,False,False,False
ALUNO-1044,,,,False,7.282095689594357,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.000020000000001,8.447971781305114,7.5,7.316666666666666,5.625,7.58333,5.0,2022,0,F,,,,,,Fase 1 (4º ano),,2021.0,False,400.0,117.0,6.0,7.066666666666666,7.566666666666666,,2.0,Promovido de Fase,Mantido na Fase atual,,,False,Fases 1-7,False,False,False
