nome,instituicao_ensino_aluno,idade_aluno,anos_pm,ponto_virada,inde,inde_conceito,pedra,destaque_ieg,destaque_ida,destaque_ipv,iaa,ieg,ips,ida,ipp,ipv,ian,ano,fase,turma,sinalizador_ingressante,rec_equipe_1,rec_equipe_2,rec_equipe_3,rec_equipe_4,nivel_ideal,defasagem,ano_ingresso,bolsista,cg,cf,ct,nota_port,nota_mat,nota_ing,qtd_aval,rec_ava_1,rec_ava_2,rec_ava_3,rec_ava_4,indicado_bolsa,grupo_fase,saiu,indicador_outlier,outlier_tipo,atencao,destaque
ALUNO-181,,,,False,7.910768840791017,,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,9.105915870621754,7.5,8.083333333333332,6.5625,8.333335,5.0,2022,0,L,,,,,,Fase 1 (4º ano),,2022.0,False,166.0,45.0,5.0,8.0,8.166666666666666,,2.0,Promovido de Fase,Promovido de Fase,,,False,Fases 1-7,False,ipp,superior,False,False
ALUNO-182,,,,False,7.093227724696357,,Ametista,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,6.518218623481781,6.875,6.0,4.6875,7.41666,10.0,2022,0,S,,,,,,ALFA  (2º e 3º ano),,2022.0,False,459.0,134.0,6.0,6.666666666666667,5.333333333333333,,2.0,Mantido na Fase atual,Mantido na Fase atual,,,False,Fases 1-7,False,ipp,inferior,False,False
ALUNO-212,,,,False,6.344244591269144,,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,8.944141289679047,4.375,6.766666666666666,2.8125,5.166655,5.0,2022,0,K,,,,,,Fase 2 (5º e 6º ano),,2019.0,False,670.0,173.0,10.0,7.133333333333333,6.4,,2.0,Mantido na Fase atual,Mantido na Fase atual,,,False,Fases 1-7,False,ipp,inferior,False,False
ALUNO-229,,,,False,6.0259628717948726,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.000020000000001,5.10897435897436,5.0,8.0,4.375,5.83333,5.0,2022,0,G,,,,,,Fase 2 (5º e 6º ano),,2019.0,False,725.0,179.0,12.0,8.666666666666666,7.333333333333333,,2.0,Promovido de Fase,Mantido na Fase atual,,,False,Fases 1-7,False,ipp,inferior,False,False
ALUNO-245,,,,False,5.246467903133903,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,5.765669515669515,7.5,3.8,0.0,6.16666,5.0,2022,0,K,,,,,,Fase 2 (5º e 6º ano),,2022.0,False,808.0,187.0,11.0,2.666666666666667,4.933333333333334,,2.0,Não avaliado,Não avaliado,,,False,Fases 1-7,False,ipp,inferior,False,False
ALUNO-250,,,,False,8.361185897435897,,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.0,9.087179487179489,6.25,9.25,4.6875,8.0,10.0,2022,0,R,,,,,,ALFA  (2º e 3º ano),,2022.0,False,51.0,12.0,1.0,9.666666666666666,8.833333333333334,,2.0,Promovido de Fase,Mantido na Fase atual,,,False,Fases 1-7,False,ipp,inferior,False,False
ALUNO-260,,,,False,7.5631370744092505,,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,8.607340372046254,7.5,7.5,6.25,7.833335,5.0,2022,0,L,,,,,,Fase 2 (5º e 6º ano),,2021.0,False,288.0,81.0,7.0,8.333333333333334,6.666666666666667,,2.0,Mantido na Fase atual,Mantido na Fase atual,,,False,Fases 1-7,False,ipp,superior,False,False
ALUNO-327,,,,True,8.538335,,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.500020000000001,9.0,7.5,9.15,6.25,8.416665,10.0,2022,0,Y,,,,,,ALFA  (2º e 3º ano),,2022.0,False,30.0,5.0,1.0,9.8,8.5,,2.0,Promovido de Fase + Bolsa,Mantido na Fase atual,,,True,Fases 1-7,False,ipp,superior,False,False
ALUNO-347,,,,False,7.387201380952382,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,10.0,8.571428571428571,5.0,6.833333333333334,4.0625,6.999995,10.0,2022,0,F,,,,,,ALFA  (2º e 3º ano),,2022.0,False,366.0,110.0,5.0,7.0,6.666666666666667,,2.0,Mantido na Fase atual,Mantido na Fase atual,,,False,Fases 1-7,False,ipp,inferior,False,False
ALUNO-363,,,,False,7.420351564102564,,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,10.0,8.737179487179487,7.5,7.833333333333334,4.0625,7.249995,5.0,2022,0,G,,,,,,Fase 1 (4º ano),,2021.0,False,348.0,102.0,3.0,8.0,7.666666666666667,,2.0,Mantido na Fase atual,Mantido na Fase atual,,,False,Fases 1-7,False,ipp,inferior,False,False
